"Año","Estación","Sector","Punto","Profundidad","Temperatura (°C)","O2 disuelto (mg/L)","Fosfatos (mg/L)","Nitratos (mg/L)","Clorofila-a (µg/L)","Fitoplancton (cél/mL)","Zooplancton (org/L)"
2024,"Invierno","A",1,"Superficie",3.2,7.29,0.617,1.26,46.48,106066,59
2024,"Primavera","A",1,"Superficie",12.7,5.18,0.668,1.084,79.83,56415,100
2024,"Verano","A",1,"Superficie",21.3,11.48,1.039,3.499,41.74,108248,118
2024,"Otoño","A",1,"Superficie",15.3,6.41,1.127,1.087,60.63,69380,139
2024,"Invierno","B",1,"Superficie",5.8,4.49,0.185,0.838,12.16,42593,82
2024,"Primavera","B",1,"Superficie",8.3,11.58,0.388,1.415,19.74,48925,94
2024,"Verano","B",1,"Superficie",22.2,9.76,0.319,1.117,11.99,22444,116
2024,"Otoño","B",1,"Superficie",15.4,5.14,0.306,0.786,13.22,45631,131
2024,"Invierno","C",1,"Superficie",4.2,8.39,0.015,0.395,4.26,17034,138
2024,"Primavera","C",1,"Superficie",10.7,11.63,0.046,0.434,6.67,10778,27
2024,"Verano","C",1,"Superficie",25.7,8.68,0.053,0.226,7.85,9914,85
2024,"Otoño","C",1,"Superficie",12.7,7.24,0.06,0.297,3.32,8074,66
2024,"Invierno","A",2,"Superficie",4.7,9.18,0.928,2.743,73.32,89857,130
2024,"Primavera","A",2,"Superficie",11.4,6.56,1.124,2.604,65.43,112164,125
2024,"Verano","A",2,"Superficie",18.8,6.46,0.857,2.61,68.02,87080,35
2024,"Otoño","A",2,"Superficie",15.4,5.76,0.686,3.445,37.35,91087,113
2024,"Invierno","B",2,"Superficie",3,6.96,0.263,0.915,17.16,39972,51
2024,"Primavera","B",2,"Superficie",8.3,11.87,0.118,0.619,23.47,35897,30
2024,"Verano","B",2,"Superficie",20.6,5.23,0.178,1.026,20.48,35295,142
2024,"Otoño","B",2,"Superficie",15.7,4.73,0.219,0.725,17,20485,40
2024,"Invierno","C",2,"Superficie",5.6,5.14,0.028,0.295,3.92,5716,104
2024,"Primavera","C",2,"Superficie",12.2,9.52,0.085,0.248,2.47,18940,43
2024,"Verano","C",2,"Superficie",23.1,8.95,0.024,0.493,3.89,16539,23
2024,"Otoño","C",2,"Superficie",16,11.13,0.082,0.255,9.12,8016,88
